Motor,Trial,Speed,Duration,Start_Angle,End_Angle,Angle_Change,Voltage
2,50,5,0.15,2297,3037,740,12.5
2,51,5,0.15,3037,3961,924,12.5
2,52,5,0.15,3961,679,814,12.5
2,53,5,0.15,679,1269,590,12.5
2,54,5,0.15,1269,1944,675,12.5
2,55,5,0.15,1944,2574,630,12.5
2,56,5,0.15,2574,3351,777,12.5
2,57,5,0.15,3351,259,1004,12.5
2,58,5,0.15,259,954,695,12.5
2,59,5,0.15,954,1600,646,12.5
2,60,5,0.15,1600,2262,662,12.5
2,61,5,0.15,2262,2974,712,12.5
2,62,5,0.15,2974,3963,989,12.5
2,63,5,0.15,3963,681,814,12.5
2,64,5,0.15,681,1268,587,12.5
2,65,5,0.15,1268,1970,702,12.5
2,66,5,0.15,1970,2640,670,12.5
2,67,5,0.15,2640,3501,861,12.5
2,68,5,0.15,3501,347,942,12.5
2,69,5,0.15,347,1061,714,12.5
2,70,5,0.15,1061,1721,660,12.5
2,71,5,0.15,1721,2402,681,12.5
2,72,5,0.15,2402,3122,720,12.5
2,73,5,0.15,3122,66,1040,12.5
2,74,5,0.15,66,799,733,12.5
2,75,5,0.15,799,1436,637,12.5
2,76,5,0.15,1436,2106,670,12.5
2,77,5,0.15,2106,2778,672,12.5
2,78,5,0.15,2778,3655,877,12.5
2,79,5,0.15,3655,479,920,12.5
2,80,5,0.15,479,1142,663,12.5
2,81,5,0.15,1142,1795,653,12.5
2,82,5,0.15,1795,2472,677,12.5
2,83,5,0.15,2472,3223,751,12.5
2,84,5,0.15,3223,154,1027,12.5
2,85,5,0.15,154,849,695,12.5
2,86,5,0.15,849,1512,663,12.5
2,87,5,0.15,1512,2171,659,12.5
2,88,5,0.15,2171,2879,708,12.5
2,89,5,0.15,2879,3848,969,12.5
2,90,5,0.15,3848,602,850,12.5
2,91,5,0.15,602,1222,620,12.5
2,92,5,0.15,1221,1889,668,12.5
2,93,5,0.15,1889,2557,668,12.5
2,94,5,0.15,2557,3369,812,12.5
2,95,5,0.15,3369,256,983,12.5
2,96,5,0.15,256,943,687,12.5
2,97,5,0.15,943,1583,640,12.5
2,98,5,0.15,1583,2231,648,12.5
2,99,5,0.15,2231,2935,704,12.5
2,0,6,0.15,2935,446,1607,12.5
2,1,6,0.15,446,1675,1229,12.5
2,2,6,0.15,1675,2977,1302,12.5
2,3,6,0.15,2977,496,1615,12.5
2,4,6,0.15,496,1741,1245,12.5
2,5,6,0.15,1741,3010,1269,12.5
2,6,6,0.15,3010,506,1592,12.5
2,7,6,0.15,505,1734,1229,12.5
2,8,6,0.15,1734,3016,1282,12.5
2,9,6,0.15,3016,505,1585,12.5
2,10,6,0.15,505,1725,1220,12.5
2,11,6,0.15,1725,2997,1272,12.5
2,12,6,0.15,2997,528,1627,12.5
2,13,6,0.15,528,1734,1206,12.5
2,14,6,0.15,1734,2953,1219,12.5
2,15,6,0.15,2953,459,1602,12.5
2,16,6,0.15,459,1669,1210,12.5
2,17,6,0.15,1669,2913,1244,12.5
2,18,6,0.15,2913,342,1525,12.5
2,19,6,0.15,342,1588,1246,12.5
2,20,6,0.15,1587,2792,1205,12.5
2,21,6,0.15,2792,280,1584,12.5
2,22,6,0.15,280,1510,1230,12.5
2,23,6,0.15,1510,2735,1225,12.5
2,24,6,0.15,2735,210,1571,12.5
2,25,6,0.15,210,1428,1218,12.5
2,26,6,0.15,1428,2680,1252,12.5
2,27,6,0.15,2680,136,1552,12.5
2,28,6,0.15,136,1374,1238,12.5
2,29,6,0.15,1374,2631,1257,12.5
2,30,6,0.15,2631,91,1556,12.5
